United States,Europe,United Kingdom,Earth,England,Batman,Africa,World War II,Brain,Human,Computer,Mammal,Animal,North America,Asteroid,Bird,Germany,Theatre,Pyramid,France,English language,Agriculture,Plant,Scotland,Science,Internet,Christianity,Telephone,Adolf Hitler,Atlantic Ocean,India,Viking,Computer science,Sun,Chemistry,China,Fish,Cat,Asia,Russia,Mexico,Zebra,California,London,Biology,Canada,Great Britain,Water,Italy,Technology,Japan,United Nations,Music,Dog,Communication,Australia,Solar System,Fruit,Art,Television,European Union,God,Ancient Greece,Latin,Pacific Ocean,Film,Roman Empire,Physics,British Empire,Electricity,Periodic table,Culture,Microsoft,Religion,Ancient Egypt,Norway,President of the United States,South America,Electronics,Brazil,Egypt,Bean,Microsoft Windows,People%27s Republic of China,Continent,The Holocaust,20th century,Lion,Mathematics,Seed,Jesus,Whale shark,Beer,Ocean,Wood,South Africa,Food,Middle Ages,Moon,Dinosaur
21,42,4,86,39,23,25,0,14,29,97,1,75,4,1,13,16,17,2,65,6,8,43,42,87,92,1,13,1,0,92,3,1,42,5,77,89,85,36,16,26,2,21,36,2,92,1,66,13,18,21,1,94,45,6,81,2,21,87,14,1,86,1,24,1,98,0,4,0,2,4,15,79,12,1,20,1,10,51,49,32,45,18,0,4,1,1,51,5,17,58,1,36,41,62,16,88,0,35,3
26,42,4,93,43,19,30,0,15,30,100,1,76,4,1,13,13,17,2,64,6,8,46,42,100,90,1,14,1,0,83,3,1,42,5,76,84,90,36,14,28,2,20,36,3,93,1,68,15,20,18,1,100,44,6,80,3,20,90,14,2,85,1,31,1,89,0,4,0,2,5,17,85,14,1,19,1,10,52,51,32,42,18,0,4,1,2,52,6,18,65,1,36,45,62,18,90,1,35,3
24,42,4,90,51,17,30,0,15,30,92,1,73,4,1,13,13,17,2,63,6,8,44,40,93,96,1,13,1,0,79,3,1,41,5,75,83,83,36,14,27,2,20,35,2,100,1,68,21,18,17,1,96,44,6,82,3,19,88,14,2,83,1,26,1,89,0,4,0,2,5,17,82,14,1,21,1,10,48,52,32,42,19,0,4,1,1,49,5,16,62,1,36,43,59,17,88,1,30,3
24,43,4,93,53,17,31,0,15,32,93,1,78,4,1,13,13,17,2,67,6,8,44,42,93,100,1,13,1,0,80,3,1,42,6,77,83,81,32,14,28,2,20,36,3,94,1,70,14,19,17,1,91,44,6,97,3,20,96,15,2,82,2,27,1,90,0,4,0,2,6,17,79,14,1,21,2,10,46,52,34,40,18,0,4,2,2,47,5,16,64,1,38,44,59,17,91,1,34,3
24,45,4,85,49,17,28,0,15,29,89,1,77,4,1,12,13,17,2,83,6,8,46,43,91,93,1,13,1,0,80,3,1,43,5,76,80,88,33,15,26,2,20,36,2,88,1,68,14,21,17,1,91,42,7,84,3,20,92,13,2,83,1,26,1,80,0,4,0,2,6,18,76,14,1,18,2,9,46,48,41,39,18,0,4,2,2,48,5,17,61,1,36,44,58,16,87,1,33,3
22,44,4,86,61,16,30,1,16,30,89,1,81,4,1,13,15,17,3,85,6,8,50,40,95,99,1,12,1,0,81,3,1,41,6,78,88,88,34,16,26,2,20,38,2,90,1,69,14,20,17,1,92,46,6,76,3,21,90,13,2,83,1,27,1,82,0,4,0,2,6,19,76,14,1,18,2,10,46,51,33,38,18,0,4,2,2,46,5,16,64,4,36,42,54,18,84,1,39,3
23,42,4,87,44,16,29,0,15,30,89,1,75,4,1,13,12,18,2,70,6,9,46,40,88,92,1,12,1,0,83,3,1,43,5,79,82,82,36,14,26,2,20,35,2,82,1,65,14,19,17,1,98,48,6,76,2,22,94,13,2,80,1,27,1,78,0,4,0,2,5,18,81,14,1,21,2,10,47,51,31,38,18,0,4,2,2,55,5,16,58,1,34,42,57,17,87,1,32,3
23,42,4,90,48,15,29,0,16,31,86,1,78,4,1,14,11,17,3,65,7,10,48,41,95,92,1,12,1,0,88,3,1,46,5,79,90,86,35,14,28,2,20,37,2,87,1,73,14,20,19,1,96,44,7,82,3,20,91,14,2,85,1,28,1,81,0,4,0,2,5,19,79,15,1,17,2,10,46,54,31,41,19,0,4,2,2,53,5,18,64,1,37,45,60,19,91,1,34,4
23,42,4,87,49,15,30,1,15,31,92,1,79,4,1,14,11,16,3,65,7,11,54,40,94,91,1,12,1,0,87,3,1,44,5,81,84,87,39,15,30,2,21,36,2,88,1,72,15,21,17,1,92,42,6,80,3,19,94,13,2,83,2,27,1,77,0,4,0,2,6,19,88,15,1,18,2,10,46,51,34,40,21,0,4,2,2,51,5,19,65,1,37,45,55,19,91,1,34,3
24,42,4,90,41,14,32,0,15,31,89,1,80,3,3,13,11,17,3,66,6,9,52,41,92,87,1,12,1,0,79,3,1,44,5,83,84,80,40,18,28,2,20,36,2,84,1,71,14,20,19,1,90,43,7,76,3,21,93,13,2,83,1,27,1,75,0,4,0,2,5,18,81,15,1,23,2,9,44,50,31,36,19,0,4,2,2,48,6,19,66,1,35,44,55,19,99,1,39,3
