United States,Europe,United Kingdom,Earth,England,Batman,Africa,World War II,Brain,Human,Computer,Mammal,Animal,North America,Asteroid,Bird,Germany,Theatre,Pyramid,France,English language,Agriculture,Plant,Scotland,Science,Internet,Christianity,Telephone,Adolf Hitler,Atlantic Ocean,India,Viking,Computer science,Sun,Chemistry,China,Fish,Cat,Asia,Russia,Mexico,Zebra,California,London,Biology,Canada,Great Britain,Water,Italy,Technology,Japan,United Nations,Music,Dog,Communication,Australia,Solar System,Fruit,Art,Television,European Union,God,Ancient Greece,Latin,Pacific Ocean,Film,Roman Empire,Physics,British Empire,Electricity,Periodic table,Culture,Microsoft,Religion,Ancient Egypt,Norway,President of the United States,South America,Electronics,Brazil,Egypt,Bean,Microsoft Windows,People%27s Republic of China,Continent,The Holocaust,20th century,Lion,Mathematics,Seed,Jesus,Whale shark,Beer,Ocean,Wood,South Africa,Food,Middle Ages,Moon,Dinosaur
22,41,4,88,45,14,29,0,14,28,85,1,77,3,1,14,11,15,3,60,6,9,54,39,86,85,1,12,1,0,85,3,1,43,5,77,81,81,53,16,29,2,22,34,2,90,1,70,13,18,21,1,89,42,7,71,3,20,86,12,2,78,1,26,1,71,0,4,0,2,4,18,78,14,1,23,2,9,45,48,30,34,18,0,4,2,2,46,5,20,64,1,39,44,56,18,87,1,32,3
22,42,4,91,39,15,29,1,15,30,84,1,76,4,1,14,11,16,3,68,6,9,58,39,84,85,1,11,1,0,90,3,1,44,5,80,84,79,61,17,34,2,21,36,2,82,1,74,14,18,20,1,87,42,7,75,3,20,90,13,2,83,1,25,1,72,0,4,0,2,5,19,77,14,1,28,1,10,45,51,30,35,18,0,4,2,2,48,5,20,65,1,36,49,54,17,90,1,31,3
23,40,4,100,39,16,31,1,15,29,84,1,74,3,1,15,11,16,3,62,6,9,58,38,92,86,1,12,1,0,82,3,1,42,5,80,83,82,35,16,29,2,25,33,2,91,1,70,14,20,19,1,85,40,6,68,3,20,88,13,2,85,1,26,1,71,0,4,0,2,4,18,79,14,1,25,1,9,44,51,31,36,17,0,4,2,2,44,5,19,68,1,37,47,58,19,88,1,31,4
22,40,4,93,39,16,23,1,13,27,86,1,74,3,1,15,10,15,2,68,6,8,56,39,79,84,1,11,1,0,73,3,1,42,5,74,90,82,32,16,24,2,21,35,2,87,1,76,13,18,18,1,93,44,6,63,2,21,94,13,1,81,1,25,1,74,0,4,0,2,4,17,72,13,1,23,1,8,41,48,29,38,17,0,4,1,1,44,5,19,100,1,39,42,56,15,91,1,34,3
22,39,4,89,38,15,29,0,14,28,83,1,76,4,1,15,10,15,2,67,8,7,56,37,80,84,1,12,1,0,78,3,1,41,5,80,85,84,32,15,27,2,21,34,2,85,1,72,14,18,18,1,83,44,6,68,2,21,89,13,2,79,1,26,1,79,0,4,0,2,4,17,74,14,1,23,1,9,42,49,30,42,17,0,4,2,2,42,5,18,83,1,37,49,57,16,88,0,30,3
24,42,4,100,41,15,29,1,15,29,82,1,78,3,1,15,10,15,3,65,6,9,61,38,85,85,1,12,2,0,77,3,1,42,5,85,83,82,34,15,28,2,21,37,2,87,1,74,14,19,18,1,85,44,6,74,2,20,92,14,2,89,2,26,1,74,0,4,0,2,4,19,73,14,1,27,2,9,40,52,29,39,18,0,4,2,2,44,5,19,64,1,37,46,58,18,89,1,29,4
25,44,4,100,40,15,29,1,15,29,87,1,79,4,2,15,11,16,3,72,7,10,60,41,90,84,1,12,1,0,77,3,1,42,5,83,86,85,34,16,28,2,22,39,2,91,1,75,14,21,19,1,88,45,7,72,3,20,93,14,2,82,2,27,1,71,0,4,0,2,4,19,75,15,1,26,2,10,46,52,32,43,16,0,5,2,2,44,5,19,62,1,40,47,61,17,90,1,29,3
24,43,4,84,43,19,29,1,16,30,87,1,79,4,1,15,11,16,3,71,7,9,62,40,87,80,1,12,1,0,75,3,1,43,6,79,84,86,33,15,28,2,20,40,3,89,1,76,15,20,18,1,87,44,6,74,3,20,91,13,2,87,2,26,1,73,0,4,0,2,5,19,74,14,1,22,2,9,46,53,30,41,17,0,4,2,2,48,5,19,60,1,42,48,61,17,93,1,41,4
23,45,4,79,39,16,31,1,14,30,83,1,77,4,1,15,11,15,3,77,7,9,61,37,84,84,1,12,1,0,76,3,1,40,6,80,85,85,33,16,29,2,21,36,2,83,1,75,15,20,18,1,84,43,6,75,3,21,90,14,2,82,2,27,1,72,0,5,0,2,4,18,76,14,1,22,3,9,46,51,31,38,17,0,4,2,2,45,5,19,60,1,42,50,58,18,95,1,44,4
23,44,4,82,48,16,31,1,14,28,84,1,75,4,1,15,11,14,3,69,7,8,62,39,86,83,1,12,1,0,80,3,1,43,6,79,83,81,35,16,29,2,22,36,3,83,1,79,16,20,18,1,89,44,6,73,3,21,93,13,2,81,2,26,1,74,0,4,0,2,4,17,76,13,1,25,2,9,44,51,30,37,17,0,4,2,2,45,5,19,59,1,44,47,59,18,91,1,30,4
22,44,4,83,48,16,29,0,13,26,77,1,78,4,1,14,11,13,3,69,6,8,58,36,82,79,1,12,1,0,85,3,1,44,5,77,82,77,32,17,29,2,20,36,2,80,1,82,18,19,18,1,84,43,6,73,2,21,84,13,2,79,2,25,1,67,0,4,0,2,4,17,72,13,1,31,2,9,42,56,32,36,16,0,5,2,2,43,5,18,55,1,43,49,57,17,93,1,30,3
21,42,4,79,54,16,29,0,16,27,81,1,79,3,1,14,12,14,2,72,7,8,56,41,79,82,1,12,1,0,80,3,1,44,5,78,84,82,34,18,31,2,21,37,2,88,1,80,18,19,18,1,85,43,5,76,2,21,86,13,2,78,1,28,1,73,0,4,0,2,3,16,73,12,1,27,2,8,43,68,30,39,18,0,4,1,1,42,5,18,58,1,44,53,57,18,97,1,28,3
19,42,3,80,56,18,30,0,14,26,83,1,75,3,1,13,14,15,2,76,6,8,52,37,82,83,1,12,1,0,81,3,1,47,6,82,82,84,32,20,29,2,21,36,2,90,1,75,16,19,18,1,87,43,6,73,3,21,83,14,2,82,1,25,1,71,0,4,0,2,3,16,74,12,1,22,1,9,44,79,30,40,17,0,4,1,1,43,5,18,58,0,43,52,55,18,93,1,36,3
20,48,4,77,94,19,28,0,13,25,85,1,75,3,2,13,16,15,2,91,6,8,54,40,83,90,1,12,1,0,82,3,1,45,6,76,86,85,32,27,30,2,20,36,2,84,1,77,23,20,18,1,85,44,6,72,2,21,86,13,2,82,1,23,1,70,0,4,0,2,3,16,76,12,1,20,1,7,45,66,30,39,17,0,4,1,1,48,6,18,62,1,43,52,57,18,93,0,30,4
18,44,3,76,72,21,28,0,12,25,88,1,77,4,1,14,18,14,2,83,6,9,52,38,77,84,1,12,1,0,81,3,1,45,5,76,85,83,33,16,25,2,21,37,2,82,1,82,20,19,17,1,88,45,6,75,2,20,83,12,1,81,1,22,1,70,0,3,0,2,3,16,100,11,1,21,1,7,46,51,34,39,21,0,4,1,1,47,5,18,59,1,42,52,56,17,93,0,31,4
19,42,4,76,81,24,25,0,12,25,89,1,76,3,1,14,23,15,2,82,6,8,51,36,76,82,1,13,1,0,84,3,1,45,4,81,86,84,31,13,26,2,21,39,1,87,1,85,46,20,17,1,84,45,6,74,2,21,84,12,2,84,1,23,1,71,0,3,0,2,3,14,76,11,0,21,1,8,45,50,36,53,18,0,4,1,1,49,5,18,57,0,43,56,58,16,93,0,32,3
18,42,3,74,40,27,24,0,12,24,84,0,75,3,1,13,11,16,2,100,5,8,48,38,72,88,1,13,1,0,85,3,1,43,4,70,84,82,33,12,31,1,21,39,1,88,1,86,27,18,19,1,83,45,5,71,2,22,83,12,1,100,1,20,1,74,0,3,0,2,2,13,69,11,0,21,1,7,43,50,29,54,18,0,5,1,1,46,4,17,58,1,43,89,57,16,92,0,35,3
18,39,3,75,40,31,26,0,14,26,94,1,77,3,1,13,10,16,2,100,6,8,52,42,72,91,1,12,1,0,88,3,1,44,4,77,89,86,31,13,24,2,22,40,1,77,1,85,16,19,18,1,83,48,6,73,2,21,86,12,1,86,1,22,1,73,0,3,0,2,3,14,71,12,0,22,1,7,46,51,29,54,18,0,4,1,1,49,4,18,59,1,42,85,60,17,94,0,30,4
19,37,3,72,40,87,26,0,13,25,85,1,74,3,1,13,10,17,2,92,6,8,49,38,73,80,1,12,1,0,88,3,1,42,4,77,86,85,32,13,24,2,20,41,1,89,2,86,15,20,18,1,85,46,5,73,2,21,83,11,1,83,1,21,1,73,0,3,0,2,3,14,71,11,0,22,1,7,44,62,28,56,18,0,4,1,1,50,5,18,60,1,45,70,56,18,95,0,31,4
21,37,4,75,46,100,28,0,12,25,96,1,74,3,1,13,10,15,2,74,6,7,51,39,73,86,1,12,1,0,91,3,1,44,4,78,88,84,32,13,26,2,21,71,1,80,3,85,15,20,18,1,82,47,5,74,2,21,84,14,1,89,1,22,1,74,0,3,0,2,3,15,72,12,0,24,1,8,45,59,30,72,18,0,5,1,1,100,5,18,60,1,44,65,59,19,98,0,30,3
21,35,5,72,42,66,27,0,12,24,85,1,73,3,1,11,10,14,2,78,5,7,47,38,67,87,1,12,1,0,98,3,1,40,4,87,80,87,31,18,27,2,20,100,1,86,6,94,14,18,19,1,79,45,5,77,2,20,78,15,1,83,1,21,1,72,0,2,0,2,2,13,71,11,0,23,1,7,43,83,31,75,18,0,4,1,1,87,4,18,55,1,43,58,55,19,93,0,35,4
20,35,5,71,41,45,27,0,12,24,86,0,71,3,1,13,11,13,2,66,5,7,49,36,69,87,1,12,1,0,92,3,1,43,4,81,81,86,30,19,35,2,22,93,1,84,4,88,14,17,21,1,79,47,5,78,2,20,82,14,1,86,1,21,1,72,0,3,0,2,2,13,69,14,0,20,1,7,45,100,30,63,18,0,4,1,1,66,5,19,54,1,42,57,55,18,89,0,30,4
20,36,4,75,43,40,28,0,12,27,94,1,78,4,1,13,11,14,2,64,6,8,49,39,76,86,1,12,1,0,94,3,1,45,4,81,86,88,34,18,29,2,22,58,2,86,2,83,15,18,18,1,83,52,5,77,2,21,92,12,1,87,1,22,1,76,0,3,0,2,3,14,73,13,0,21,1,9,44,75,32,62,20,0,4,1,1,60,5,19,56,1,47,58,59,19,100,0,31,4
19,37,3,74,42,33,29,0,14,26,90,1,80,4,1,13,10,14,2,67,6,7,52,38,79,87,1,12,1,0,92,4,1,47,4,77,85,90,31,14,27,2,21,40,2,82,1,76,14,18,19,1,82,49,5,78,2,21,92,12,1,83,1,24,1,76,0,3,0,2,3,14,84,12,1,26,1,9,44,48,31,60,21,0,4,1,1,58,5,19,64,1,46,56,61,20,100,0,32,4
22,40,3,75,39,32,29,0,13,27,93,1,80,4,1,13,10,13,2,65,6,8,54,40,97,90,1,12,1,0,89,3,1,44,5,77,83,92,34,14,29,1,21,38,2,82,1,76,14,19,19,1,84,46,6,80,2,21,97,13,1,84,1,24,1,81,0,3,0,2,4,16,78,14,1,21,2,9,47,50,33,59,20,0,5,1,1,68,6,18,67,1,44,51,60,19,98,0,61,4
22,39,3,76,44,28,29,0,13,27,92,1,77,4,1,13,10,14,3,60,6,8,54,40,93,89,1,12,1,0,89,3,1,40,6,79,81,88,32,14,30,2,19,38,2,83,1,73,14,19,18,1,85,44,6,76,2,20,95,12,1,85,1,25,1,73,0,4,0,2,6,17,80,14,1,20,2,8,44,50,33,61,20,0,5,1,1,51,6,18,59,1,43,59,59,18,99,1,36,4
22,40,3,76,45,25,29,0,14,28,91,1,78,4,1,12,10,14,3,68,7,9,53,36,97,88,1,12,1,0,89,3,1,41,6,85,80,87,34,13,30,2,20,37,3,86,1,71,14,21,18,1,82,45,6,70,2,21,100,13,1,87,2,26,1,82,0,4,0,2,8,19,80,16,1,18,2,11,45,51,42,66,19,0,6,1,2,48,6,19,61,1,43,56,58,18,92,1,31,4
23,38,3,82,44,24,28,0,16,29,90,1,80,4,1,12,10,15,3,69,6,9,54,36,94,89,1,12,1,0,89,3,1,39,6,86,80,85,39,13,30,2,20,37,2,84,1,72,15,20,19,1,85,45,7,76,2,20,99,13,1,85,2,27,1,79,0,4,0,2,8,19,86,16,1,18,2,10,45,52,36,63,19,0,6,1,2,52,6,18,69,0,38,54,61,17,96,1,31,4
22,41,4,75,49,22,28,0,16,29,88,1,81,4,1,13,10,16,3,61,7,9,56,37,93,86,1,13,1,0,89,3,1,40,6,85,79,91,34,14,27,2,21,38,3,84,1,72,13,19,19,1,90,45,7,73,2,20,95,13,2,91,1,26,1,73,0,4,0,2,8,20,82,16,1,18,2,10,41,51,33,67,19,0,5,1,2,49,6,18,62,0,43,49,62,18,99,1,37,4
23,40,3,72,41,21,30,0,15,31,85,1,79,4,1,15,10,16,3,62,7,9,54,36,94,87,1,12,1,0,91,3,1,38,6,78,78,89,31,14,26,2,19,36,2,85,1,68,13,20,19,1,89,43,7,74,2,20,96,13,2,95,2,27,1,71,0,4,0,2,8,19,81,15,1,18,2,10,45,50,34,67,19,0,5,1,1,52,6,18,60,1,41,46,61,20,100,1,36,4
21,39,3,69,45,21,27,0,15,28,84,1,77,4,1,15,10,16,3,60,7,8,54,38,91,85,1,12,1,0,79,3,1,40,6,74,77,87,33,16,27,2,20,35,2,81,1,68,13,19,18,1,84,45,7,73,2,19,96,14,2,87,2,25,1,74,0,4,0,2,8,19,83,15,1,18,2,9,43,50,31,67,19,0,5,1,1,46,6,17,56,1,41,43,60,18,98,1,29,4
22,37,3,75,52,20,28,0,15,28,85,1,77,4,1,13,13,15,3,64,6,8,53,36,88,84,1,11,1,0,82,4,1,38,5,76,79,87,32,14,26,2,19,35,2,82,1,68,14,19,19,1,87,44,7,74,3,20,95,12,2,88,1,26,1,75,0,4,0,2,7,19,87,15,1,19,2,10,41,52,32,68,22,0,5,1,1,47,6,18,59,0,41,44,59,18,97,1,30,4
24,38,3,70,39,21,28,0,15,28,84,1,73,4,1,13,13,15,3,65,7,8,51,35,86,82,1,12,1,0,76,4,1,41,5,81,78,94,31,14,26,2,20,35,2,81,1,70,13,17,18,1,89,44,6,75,2,19,97,13,2,90,1,25,1,77,0,4,0,2,8,18,97,15,1,18,2,9,42,50,30,67,29,0,4,1,1,45,5,19,61,0,41,43,58,17,96,1,30,4
24,36,3,71,38,22,27,0,14,29,82,1,73,4,1,13,13,16,3,58,6,7,49,34,79,87,1,12,1,0,87,3,1,40,5,79,74,92,35,14,24,2,19,35,2,90,1,70,11,17,18,1,84,42,6,73,2,18,90,12,2,82,1,23,1,83,0,4,0,3,7,17,99,13,1,17,2,9,41,43,31,76,31,0,4,1,1,46,5,19,57,0,36,58,57,17,92,1,35,3
30,36,3,67,37,16,26,0,15,27,81,1,75,3,1,13,13,15,3,56,5,8,47,33,87,80,1,12,1,0,78,3,1,38,5,73,70,84,32,14,26,2,26,33,2,82,1,65,11,18,17,1,81,44,6,72,2,18,91,12,2,83,1,23,1,74,0,4,0,2,7,18,91,16,1,18,6,9,41,46,30,67,26,0,4,1,1,43,5,15,58,0,36,42,56,18,93,1,29,3
26,39,3,72,65,19,28,0,15,30,83,1,79,3,1,13,13,19,3,60,6,7,48,37,85,82,1,11,1,0,74,3,1,38,5,77,75,91,33,15,26,2,18,34,2,80,1,66,12,17,18,1,84,43,6,75,2,18,93,12,2,82,1,29,1,78,0,4,0,2,7,18,91,15,1,18,2,10,43,54,34,75,24,0,4,1,2,44,5,16,59,0,37,40,59,18,99,1,31,3
19,36,3,68,52,22,30,0,14,26,86,1,76,3,1,13,13,19,2,60,6,8,42,33,81,86,1,12,1,0,86,3,1,38,5,76,78,90,33,14,24,2,15,34,2,90,1,62,11,17,18,1,89,47,6,78,2,20,93,12,2,82,1,24,1,75,0,3,0,2,4,18,88,14,1,18,2,8,51,53,33,100,25,0,4,1,1,44,5,16,61,1,39,38,59,18,97,1,30,4
23,37,3,71,42,22,28,0,15,29,88,1,76,3,1,13,13,16,3,60,6,8,45,33,86,84,1,12,1,0,83,3,1,38,5,77,72,92,35,14,25,2,19,32,2,84,1,67,11,20,17,1,89,46,6,74,2,18,97,12,2,85,1,26,1,79,0,4,0,2,7,19,89,15,1,19,2,9,46,58,35,82,24,0,4,1,2,43,5,16,64,1,37,40,59,17,95,1,36,3
23,36,3,72,49,25,28,0,15,29,88,1,79,3,1,13,12,16,3,68,6,8,47,33,87,82,1,12,1,0,80,3,1,38,5,75,70,100,32,14,24,2,18,32,2,84,1,66,11,18,21,1,89,45,7,74,2,20,99,11,2,73,1,26,1,76,0,4,0,2,7,18,80,15,1,21,2,9,45,51,34,81,21,0,4,1,2,44,5,15,69,1,37,41,57,17,94,1,29,4
22,36,3,80,48,24,25,0,14,27,85,1,73,3,3,12,13,15,3,69,6,8,44,32,82,83,1,12,1,0,82,3,1,39,5,83,74,92,32,15,24,2,18,32,2,83,1,65,11,17,18,1,84,42,6,68,2,19,96,11,2,80,1,24,1,78,0,4,0,2,7,17,79,15,1,21,2,9,45,47,33,73,22,0,4,1,2,43,5,15,74,1,39,38,55,16,90,1,30,3
21,34,3,78,46,23,22,0,12,24,84,1,73,3,4,12,10,15,2,58,5,6,39,32,71,80,1,13,1,0,89,3,1,40,4,77,72,94,31,14,21,2,17,30,2,84,1,58,10,15,18,1,87,43,5,81,2,20,89,10,1,84,1,21,1,78,0,3,0,2,4,14,75,14,1,19,2,8,45,46,30,72,21,0,4,1,1,43,4,16,72,0,40,38,55,14,90,1,30,3
15,30,2,74,33,28,21,0,10,19,90,0,75,2,1,12,9,16,2,50,5,5,34,30,58,87,1,11,1,0,100,3,1,37,3,69,85,95,31,14,19,1,16,30,1,76,1,56,10,12,18,1,95,47,3,63,1,22,77,10,1,84,0,19,1,100,0,2,0,1,2,11,71,11,0,16,1,7,44,41,29,87,23,0,3,0,1,45,4,16,83,0,42,42,55,12,88,0,36,3
18,34,3,72,35,25,23,0,13,23,88,1,79,3,1,13,9,18,2,55,5,6,38,36,69,85,1,11,1,0,99,3,1,40,4,71,91,93,33,15,21,1,18,36,2,78,1,65,12,14,17,1,88,50,4,70,2,20,83,12,1,84,1,22,1,98,0,3,0,2,3,13,72,10,1,16,1,8,41,46,31,79,22,0,4,1,1,45,5,17,57,0,40,47,61,15,98,0,32,4
