United States,United Kingdom,Europe,Brain,Earth,England,Asteroid,Theatre,Africa,Pyramid,Mammal,Animal,France,World War II,North America,Viking,Telephone,Human,Agriculture,Zebra,India,Germany,Computer science,Plant,English language,Mexico,Science,Internet,Atlantic Ocean,Communication,London,Lion,Bean,Christianity,Asia,China,United Nations,Computer,Japan,Sun,Russia,Film,Canada,Australia,Soybean,Technology,Great Britain,Norway,Italy,Periodic table,Music,Bird,Culture,California,Solar System,Roman Empire,Biology,20th century,Herbivore,President of the United States,Latin,South America,British Empire,Egypt,Pacific Ocean,Ancient Egypt,Television,Ancient Greece,Seed,Cell %28biology%29,Physics,Water,Fish,South Africa,European Union,Electronics,Information,Religion,Mathematics,Protein,World War I,Brazil,Mythology,Food,New York City,Scotland,Iceland,Soviet Union,Ocean,Spain,Chemical element,Fruit,Language,Roman Catholic Church,Middle Ages,Norse mythology,19th century,Jupiter,Netherlands,Ancient Rome
16,2,28,20,59,60,1,66,84,12,0,24,55,0,1,11,40,76,8,10,80,10,1,15,2,52,21,86,0,7,59,9,6,1,12,13,0,15,19,20,4,73,53,32,0,67,3,10,48,10,88,10,8,34,1,8,82,13,2,5,23,3,0,19,1,4,90,4,72,0,9,83,50,18,1,25,94,28,7,33,0,11,3,86,8,54,10,2,74,53,0,49,92,1,3,2,14,85,62,10
16,2,29,20,62,59,2,66,85,12,0,24,58,0,1,11,40,79,8,10,72,10,1,15,2,51,22,85,0,7,60,9,6,1,12,13,0,15,16,19,4,75,56,30,0,68,3,10,49,9,91,10,8,35,1,8,87,12,2,5,22,3,0,19,1,4,95,4,72,0,9,86,53,18,1,27,91,29,8,33,0,11,3,87,8,57,12,2,82,51,0,49,90,1,2,2,13,80,62,9
16,2,28,19,100,63,2,64,77,11,0,23,62,0,1,10,40,75,8,9,75,9,1,14,2,42,20,83,0,6,59,10,7,1,12,13,0,16,13,19,4,77,56,30,0,64,3,10,49,8,93,11,7,35,1,8,71,12,2,5,22,3,0,18,1,4,93,3,74,0,8,88,56,15,1,27,87,27,8,31,0,10,3,100,9,55,10,2,76,54,0,52,87,1,2,2,13,75,56,8
16,3,29,20,61,94,2,64,73,11,0,24,61,0,1,11,38,78,8,9,78,9,1,15,2,50,20,87,0,7,62,9,7,1,13,13,0,15,12,21,4,83,62,30,0,65,4,11,49,9,92,11,8,34,1,7,83,15,2,6,23,3,1,19,1,4,97,4,71,0,9,89,51,14,1,27,93,32,7,31,0,11,3,86,8,53,9,2,77,50,0,52,90,1,2,3,14,83,58,10
17,3,32,20,61,68,2,68,82,12,0,24,59,0,1,11,41,78,8,9,76,10,1,15,2,53,20,86,0,7,57,9,6,1,13,12,0,15,11,20,4,75,63,32,0,68,3,11,49,9,91,11,8,32,1,8,89,14,2,6,22,4,1,19,1,5,91,5,68,0,10,89,54,16,1,27,97,31,7,31,0,11,3,91,8,57,10,3,78,53,0,54,89,1,2,3,13,75,64,10
15,3,30,19,57,63,2,69,89,11,0,23,58,0,1,12,41,77,8,10,74,10,1,15,2,50,21,80,0,6,57,10,6,1,14,13,0,16,11,20,4,71,52,32,0,69,3,11,54,8,92,12,8,34,1,8,92,14,2,5,21,3,0,19,1,5,89,4,68,0,10,90,50,18,1,27,93,30,8,32,0,11,3,88,8,55,12,3,81,79,0,52,89,1,3,5,14,92,58,11
16,3,30,19,59,62,2,68,84,12,0,24,59,0,1,12,40,77,8,10,74,10,1,14,2,52,21,83,0,6,62,10,6,1,14,13,0,15,11,19,4,75,53,33,0,64,3,13,52,8,88,11,8,35,1,8,98,14,2,5,22,3,0,19,1,5,89,5,67,0,9,86,52,18,1,26,94,29,8,31,0,11,3,91,8,56,14,2,80,61,0,52,91,1,2,4,13,87,59,11
15,3,30,18,55,65,2,72,81,11,0,23,59,0,1,12,42,71,8,10,77,10,1,15,2,54,21,83,0,6,60,10,6,1,15,12,0,15,11,20,4,74,51,33,0,66,2,11,52,8,95,11,7,35,1,7,72,12,2,5,21,4,0,19,1,5,94,4,64,0,10,91,54,18,1,27,89,27,7,31,0,11,3,90,8,75,42,2,85,58,0,48,85,1,2,3,11,80,56,11
13,2,29,17,57,69,1,70,83,13,0,23,64,0,1,11,40,66,8,9,83,11,1,13,2,56,18,81,0,6,58,10,6,1,13,12,0,15,10,20,4,75,57,33,0,64,2,12,50,7,88,11,7,36,1,7,69,11,2,4,22,3,0,18,1,4,91,4,63,0,9,95,54,17,1,26,86,26,8,28,0,11,3,87,8,57,12,2,92,61,0,51,85,1,2,2,10,78,62,10
14,2,30,18,57,66,1,70,84,11,0,23,68,0,1,12,43,81,8,9,85,11,1,13,2,58,21,86,0,6,60,13,6,1,13,12,0,16,11,19,4,79,54,33,0,71,2,12,51,9,95,11,7,35,1,7,86,11,2,4,21,3,0,18,1,4,91,4,61,0,9,95,53,17,1,27,91,25,9,30,0,12,3,91,8,58,12,2,92,59,0,57,88,1,2,2,12,79,70,9
14,2,29,18,58,66,1,69,79,11,0,24,61,0,2,12,41,70,7,9,81,10,1,13,2,56,20,86,0,7,59,12,8,1,12,13,0,15,11,20,3,79,59,32,0,71,2,11,53,7,91,11,7,36,1,7,85,11,1,3,20,3,0,17,1,4,85,3,60,0,9,89,53,16,1,28,90,25,8,29,0,11,3,88,8,55,12,1,92,56,0,63,86,1,2,2,10,78,55,7
13,2,28,17,56,68,2,69,79,11,0,23,59,0,1,11,42,69,7,9,85,10,1,13,2,61,19,83,0,6,63,11,6,1,12,12,0,17,11,21,3,78,56,32,0,67,2,12,49,6,92,11,7,36,1,6,67,11,1,3,21,3,0,17,1,3,87,2,60,0,8,91,52,17,1,28,81,24,8,31,0,11,3,86,8,53,10,1,94,52,0,54,85,1,1,1,9,77,59,5
13,2,29,15,57,67,4,69,76,9,0,24,66,0,1,11,44,66,7,9,90,11,1,13,1,61,18,87,0,6,60,12,6,1,12,12,0,16,11,21,3,79,58,32,0,66,2,11,49,5,91,10,6,38,1,5,54,10,1,3,19,3,0,16,1,2,84,2,58,0,7,97,55,16,1,28,76,21,8,29,0,12,2,90,8,54,11,1,97,51,0,56,81,1,1,1,10,78,56,5
13,2,28,15,56,67,1,68,78,8,0,23,86,0,1,11,45,63,6,9,85,10,1,12,1,59,18,91,0,6,59,14,6,1,13,12,0,15,11,21,3,78,53,32,0,64,2,12,48,5,91,11,6,36,1,5,54,10,1,4,18,3,0,16,1,2,91,2,61,0,7,90,55,16,1,28,76,21,7,28,0,14,3,86,8,55,11,1,100,55,0,55,88,1,1,2,8,78,55,4
13,2,27,15,58,70,1,73,79,10,0,24,89,0,1,13,42,67,7,9,87,11,1,12,1,54,18,84,0,6,61,17,7,1,12,12,0,16,12,21,4,79,49,32,0,69,2,11,53,6,95,11,6,38,1,5,56,9,1,3,19,3,0,16,1,2,90,2,64,0,7,100,57,18,1,31,76,22,7,29,0,16,3,91,8,57,11,1,99,52,0,55,85,0,1,1,8,78,69,4
13,2,27,15,58,76,2,73,85,9,0,23,100,0,1,12,42,65,7,11,84,10,1,12,1,48,18,86,0,6,58,34,6,1,12,11,0,16,12,21,3,79,55,34,0,68,2,74,49,6,91,10,6,36,1,5,50,9,1,3,19,3,0,15,1,2,91,1,60,0,6,96,54,19,1,29,77,21,7,29,0,14,3,85,9,58,10,1,98,52,0,54,84,0,1,2,9,73,55,3
13,2,28,15,58,80,2,70,87,10,0,23,61,0,1,12,42,64,7,9,89,10,1,12,1,47,17,86,0,5,61,27,7,1,11,13,0,16,10,20,3,79,50,33,0,67,2,100,50,6,92,10,6,36,1,6,54,10,1,4,19,3,0,17,1,2,83,2,62,0,6,92,54,19,1,29,76,22,7,28,0,10,3,87,8,56,11,1,93,51,0,56,85,1,1,2,8,73,58,4
13,2,26,15,56,82,2,68,86,10,0,23,61,0,1,12,42,68,8,10,89,9,1,12,1,51,18,100,0,6,59,22,8,1,12,12,0,17,10,20,3,81,48,34,0,68,2,22,54,6,87,11,6,37,1,6,56,9,1,4,19,3,0,17,1,3,82,2,61,0,6,95,56,19,1,30,78,22,8,30,0,11,3,91,9,63,11,1,97,53,0,58,88,1,1,2,9,91,52,5
13,2,25,14,55,99,1,64,80,9,0,23,55,0,1,11,43,63,7,10,86,10,1,11,1,54,17,87,0,5,100,20,8,1,12,13,0,16,10,21,3,82,50,34,0,65,2,15,52,6,90,11,6,35,1,5,56,10,1,3,19,3,0,16,1,2,82,2,60,0,7,87,57,17,1,29,70,22,7,28,0,11,3,90,9,61,11,1,92,50,0,56,83,1,1,2,8,82,57,5
13,2,25,16,55,72,1,66,98,9,0,23,53,0,1,11,41,70,8,10,87,9,1,11,1,54,19,92,0,6,58,20,7,1,12,13,0,16,10,21,3,80,54,34,0,65,2,13,47,6,92,10,6,35,1,6,65,9,1,4,19,3,0,17,1,3,86,2,65,0,7,89,56,20,1,29,76,25,8,30,0,12,3,90,8,57,10,2,95,53,0,57,85,1,1,2,9,79,53,5
14,2,27,16,64,77,1,60,88,10,0,23,60,0,1,11,42,92,7,10,85,9,1,12,1,52,21,91,0,6,57,19,7,1,12,13,0,17,10,21,3,78,53,32,0,68,2,12,46,8,90,10,6,35,1,6,80,10,1,4,20,3,0,17,1,4,87,2,62,0,8,85,53,19,1,29,78,25,8,31,0,11,3,89,12,58,10,1,95,48,0,55,89,1,1,2,9,82,56,6
13,2,26,16,55,99,1,66,84,9,0,24,59,0,1,11,40,100,7,10,81,9,1,12,1,55,21,86,0,6,54,17,6,1,12,12,0,16,10,19,3,82,53,31,0,64,2,11,47,10,95,10,7,33,1,7,80,11,1,5,20,3,0,15,1,4,98,3,65,0,8,87,51,17,1,28,76,26,7,31,0,11,3,84,10,59,10,1,90,51,1,53,87,1,1,2,9,72,64,6
14,2,27,16,57,92,1,66,84,10,0,22,58,0,1,11,44,92,7,9,86,10,1,11,2,52,21,89,0,7,59,18,7,1,12,12,0,16,10,18,4,81,48,32,0,65,3,12,49,13,95,10,7,32,1,8,90,11,2,5,20,4,0,18,1,5,90,3,60,0,9,82,51,18,1,27,81,28,9,29,0,12,3,87,8,63,9,1,77,53,1,55,95,1,2,2,10,76,62,7
16,2,28,18,59,85,2,66,93,11,0,23,57,0,1,13,43,86,8,10,89,9,1,12,2,54,24,89,0,7,59,20,7,1,13,13,0,17,11,19,4,82,52,32,0,70,3,11,49,18,93,11,8,33,1,9,100,14,2,6,22,4,0,19,1,5,95,4,69,0,10,82,53,19,1,28,84,30,9,33,0,12,3,91,9,60,10,1,77,51,1,57,96,1,2,2,12,86,58,8
15,2,27,18,65,71,2,68,87,11,0,24,58,0,1,12,43,83,7,10,86,10,1,13,2,52,23,88,0,7,56,19,7,1,15,13,1,17,10,17,4,77,50,32,0,69,3,10,51,18,92,10,9,32,1,10,98,13,2,5,22,4,0,18,1,6,87,4,66,0,10,79,49,18,1,28,84,33,7,34,0,11,3,87,8,57,8,1,76,49,1,58,97,1,2,2,13,85,54,8
15,2,26,19,57,73,2,72,83,11,0,23,50,0,1,12,42,83,8,10,83,9,1,13,2,53,22,89,0,7,56,20,7,1,13,13,0,16,10,18,4,77,48,30,0,69,3,10,47,18,92,10,8,33,1,11,97,13,2,5,22,4,0,19,1,6,89,4,64,0,10,80,51,18,1,27,89,33,9,33,0,11,3,91,8,65,10,1,76,48,1,59,95,1,2,2,13,94,55,9
15,2,26,19,54,83,2,69,88,11,0,24,57,0,1,12,41,82,8,9,77,10,1,12,2,54,21,87,0,7,54,18,7,1,12,12,0,16,10,18,3,77,47,31,0,66,3,11,53,18,88,10,8,32,1,10,93,13,2,6,22,4,0,19,1,6,89,4,62,0,10,79,48,17,1,27,85,31,9,33,0,11,3,90,8,59,11,1,72,50,1,57,92,1,2,2,13,91,52,8
15,2,26,20,52,77,2,67,89,10,0,23,56,0,1,13,40,84,7,10,86,10,1,12,2,59,22,86,0,7,55,20,7,1,12,13,0,16,10,17,4,79,46,33,0,67,3,11,44,17,92,10,8,31,1,10,93,13,2,5,22,4,0,20,1,6,97,4,65,0,10,80,47,19,1,27,86,31,9,32,0,13,3,87,8,56,11,1,71,52,1,59,100,1,2,2,13,90,56,8
15,2,26,19,56,84,1,71,84,11,0,25,51,0,1,13,41,83,8,10,87,10,1,12,2,51,22,79,0,7,57,19,7,1,13,15,1,16,9,18,4,76,49,31,0,65,3,11,42,17,85,11,8,31,1,11,96,13,2,5,22,4,0,18,1,6,90,4,61,0,9,76,48,17,1,27,87,30,8,33,0,11,3,92,8,52,9,1,69,47,1,60,98,1,2,2,16,89,57,9
15,2,27,19,55,78,2,71,77,11,0,24,51,0,1,13,39,80,7,11,77,9,1,11,2,49,21,79,0,7,57,17,7,1,12,14,0,16,9,17,3,83,48,31,0,65,3,11,43,16,85,11,8,31,1,10,89,12,2,5,21,4,0,18,1,6,86,4,64,0,9,77,46,16,1,25,83,30,8,33,0,12,3,87,8,52,9,1,70,42,1,58,91,1,2,2,14,95,56,8
15,2,26,18,53,60,5,70,80,11,0,24,50,0,1,12,42,77,8,10,83,10,1,12,2,47,21,77,0,7,58,17,7,1,13,14,0,16,9,17,4,87,48,29,0,65,3,11,42,16,92,11,8,29,1,10,91,12,2,5,22,4,0,17,1,6,85,4,65,0,9,80,46,15,1,26,82,30,8,31,0,10,3,88,8,53,10,1,73,43,1,59,96,1,3,2,14,100,57,9
15,2,28,19,61,78,27,75,89,10,0,23,48,0,1,11,39,80,8,11,81,10,1,12,2,52,22,78,0,7,56,17,8,1,12,13,0,16,9,18,4,85,49,30,0,65,3,11,49,14,95,11,8,29,1,9,90,13,2,5,28,4,0,16,1,6,90,4,58,0,9,77,45,18,1,26,87,30,8,31,0,11,3,90,9,52,10,1,76,59,1,56,95,1,3,3,15,96,55,8
15,2,25,19,55,68,2,80,89,10,0,24,45,0,1,12,42,80,8,11,86,10,1,12,2,51,22,79,0,7,55,16,9,1,12,13,0,16,9,17,4,82,48,30,0,71,3,11,45,16,90,11,9,30,1,10,92,13,2,5,22,4,0,20,1,7,91,4,57,0,9,74,46,17,1,28,85,31,8,30,0,12,3,95,7,51,11,2,76,49,1,61,96,1,3,3,16,96,60,8
12,2,25,17,52,58,1,76,81,9,0,23,44,0,1,13,40,69,7,10,88,11,1,10,2,43,20,82,0,7,59,16,13,1,12,12,0,16,8,17,4,80,51,29,0,60,3,10,37,10,96,11,7,25,1,8,72,11,2,4,20,3,0,21,1,4,86,3,57,0,8,73,46,16,1,32,73,28,7,27,0,11,3,93,7,48,10,1,69,42,0,63,86,1,2,3,12,94,56,6
16,2,25,19,52,60,2,72,82,11,0,23,47,0,1,11,43,76,8,12,86,13,1,11,2,46,22,78,0,7,55,15,8,1,11,13,0,17,9,18,4,84,49,28,0,69,3,11,39,16,96,11,8,30,1,9,93,13,2,5,20,3,0,20,1,6,87,4,57,0,9,76,46,15,1,31,81,30,8,30,0,12,3,87,8,53,11,2,71,41,1,58,92,1,2,2,14,99,54,8
16,2,26,19,58,57,2,70,81,11,0,23,53,0,1,11,41,74,8,11,85,13,1,10,1,44,20,81,0,7,53,15,8,1,12,12,0,16,9,16,4,80,48,28,0,66,3,11,37,16,90,11,8,28,1,10,87,12,2,5,21,3,0,18,1,6,83,4,56,0,9,73,42,16,1,30,79,31,8,30,0,12,3,90,7,64,11,2,70,39,1,58,92,1,2,2,15,99,54,9
14,2,26,18,52,65,1,65,77,10,0,23,51,0,1,11,41,70,7,10,82,13,1,11,1,40,19,73,0,6,50,15,8,1,11,12,0,15,8,17,4,81,47,28,0,65,3,12,37,14,88,11,7,28,1,9,84,13,2,5,19,3,0,17,1,5,79,4,54,0,9,71,43,14,1,29,73,28,7,27,0,11,3,87,7,50,11,2,75,42,1,60,85,1,2,2,14,90,53,7
12,2,23,15,54,54,1,62,64,9,0,22,44,0,1,9,42,59,6,9,82,11,1,9,1,38,16,76,0,5,46,15,10,1,10,11,0,16,8,18,4,86,46,26,0,53,3,11,35,8,93,11,5,28,1,7,52,9,1,3,18,3,0,17,0,3,76,2,56,0,7,69,49,12,1,30,63,23,6,22,0,11,3,90,7,47,10,1,70,36,0,67,77,1,1,2,8,80,48,5
11,2,22,14,56,53,1,72,61,9,0,23,41,0,1,10,37,58,5,10,95,10,1,8,1,38,15,81,0,4,52,16,9,1,10,12,0,18,9,17,4,100,47,31,0,45,2,11,37,5,100,11,5,31,1,6,43,9,1,3,18,3,0,16,0,2,80,1,54,0,5,67,48,12,0,31,55,25,6,23,0,11,3,84,8,48,10,1,86,38,0,66,73,1,1,2,6,81,44,4
