United States,United Kingdom,Europe,Brain,Earth,England,Asteroid,Theatre,Africa,Pyramid,Mammal,Animal,France,World War II,North America,Viking,Telephone,Human,Agriculture,Zebra,India,Germany,Computer science,Plant,English language,Mexico,Science,Internet,Atlantic Ocean,Communication,London,Lion,Bean,Christianity,Asia,China,United Nations,Computer,Japan,Sun,Russia,Film,Canada,Australia,Soybean,Technology,Great Britain,Norway,Italy,Periodic table,Music,Bird,Culture,California,Solar System,Roman Empire,Biology,20th century,Herbivore,President of the United States,Latin,South America,British Empire,Egypt,Pacific Ocean,Ancient Egypt,Television,Ancient Greece,Seed,Cell %28biology%29,Physics,Water,Fish,South Africa,European Union,Electronics,Information,Religion,Mathematics,Protein,World War I,Brazil,Mythology,Food,New York City,Scotland,Iceland,Soviet Union,Ocean,Spain,Chemical element,Fruit,Language,Roman Catholic Church,Middle Ages,Norse mythology,19th century,Jupiter,Netherlands,Ancient Rome
16,2,31,16,71,75,1,78,95,12,0,24,62,0,1,12,48,72,8,9,83,9,1,10,2,47,24,94,0,6,62,9,7,1,13,13,0,19,9,19,4,90,60,36,0,69,3,11,46,9,98,12,7,41,1,9,80,13,2,5,23,4,0,21,1,6,95,4,58,0,9,79,64,23,1,35,94,25,8,31,0,11,4,85,9,60,11,1,70,49,0,49,88,1,2,2,13,84,55,8
16,2,31,19,64,69,1,78,99,11,0,24,57,0,1,12,46,79,8,9,78,10,1,10,2,51,24,93,0,7,57,9,7,1,14,13,0,18,9,20,3,84,54,40,0,67,3,11,45,10,94,10,7,36,1,9,96,13,2,5,22,4,0,21,1,7,94,4,54,0,10,76,57,22,1,31,100,28,8,32,0,13,3,88,9,61,9,1,68,50,0,47,89,1,2,2,14,83,57,8
15,2,30,19,63,72,1,78,95,11,0,23,60,0,1,12,44,84,9,10,79,10,1,10,2,52,24,89,0,7,59,9,7,1,13,13,0,18,9,19,4,86,54,39,0,71,3,12,46,11,96,9,7,35,1,8,86,14,2,5,23,4,0,20,1,6,98,4,56,0,10,77,55,22,1,31,93,26,8,32,0,12,3,92,8,57,11,2,69,51,0,47,91,1,2,2,13,91,53,8
16,2,31,19,64,64,1,74,90,12,0,24,60,0,1,12,45,83,8,10,75,9,1,11,2,51,22,91,0,7,57,9,7,1,13,12,0,17,9,19,4,80,55,39,0,67,3,11,48,11,97,9,8,34,1,8,88,12,1,5,24,4,0,53,1,6,100,4,57,0,10,79,52,19,1,30,94,27,8,33,0,11,3,88,9,59,11,2,67,49,1,47,94,1,2,2,14,86,55,10
16,2,30,20,64,71,2,75,87,12,0,23,60,0,1,12,48,81,9,10,71,9,1,11,2,53,23,94,0,7,58,9,7,1,12,11,0,17,9,20,3,84,57,38,0,69,3,11,49,12,98,9,8,34,1,9,78,14,1,5,24,4,0,100,1,6,98,4,60,0,11,78,53,17,1,31,94,27,8,32,0,12,3,92,8,63,10,2,72,49,0,46,92,1,2,2,15,87,57,10
16,2,31,20,65,75,3,79,89,13,0,24,57,0,1,13,45,83,9,9,75,10,1,11,2,55,23,93,0,7,59,9,7,1,12,12,0,18,9,20,4,85,55,33,0,72,3,11,52,12,98,9,8,34,1,9,83,14,2,6,24,4,0,59,1,7,94,5,59,0,10,78,55,18,1,32,100,29,8,33,0,13,4,94,8,65,11,2,74,53,0,50,96,1,2,2,16,91,60,11
15,2,30,21,62,66,2,78,86,12,0,24,56,0,1,11,45,78,9,10,76,10,1,12,2,54,22,87,0,7,57,9,6,1,12,13,0,17,9,20,3,79,52,33,0,68,3,10,49,11,97,10,8,32,1,8,74,14,2,6,23,4,0,38,1,6,94,5,59,0,10,76,52,18,1,31,92,28,7,33,0,11,4,90,8,59,9,2,72,50,0,47,89,1,3,2,16,83,54,11
15,2,30,19,63,69,1,77,88,12,0,23,59,0,1,11,42,78,10,10,73,10,1,12,2,54,23,84,0,7,58,10,6,1,13,12,0,17,9,19,4,80,54,33,0,67,3,12,48,11,95,9,7,33,1,8,71,11,2,6,22,4,0,27,1,5,90,4,65,0,9,77,53,18,1,30,94,28,8,33,0,11,3,89,8,57,9,2,74,49,0,50,91,1,2,1,15,86,70,11
16,2,29,20,61,82,1,72,90,13,0,23,53,0,1,12,43,80,8,10,79,10,1,12,2,51,23,88,0,7,58,10,6,1,13,13,0,17,9,20,4,79,55,34,0,73,3,10,48,10,93,9,8,33,1,9,82,14,2,5,22,4,0,24,1,5,93,5,65,0,10,80,52,18,1,30,97,28,9,34,0,12,3,88,8,59,10,2,72,49,1,54,92,1,3,2,15,88,61,11
16,2,30,20,73,73,2,74,100,12,0,24,57,0,1,11,41,83,9,11,77,10,1,15,2,55,22,85,0,7,59,9,6,1,14,14,0,16,74,19,4,80,54,33,0,70,3,11,48,10,91,9,8,40,1,9,78,14,2,5,24,4,0,22,2,5,99,4,68,0,9,81,57,23,1,29,100,29,8,33,0,12,4,92,8,61,9,2,76,54,0,50,93,1,3,2,15,85,66,9
15,2,30,19,76,75,2,70,89,12,0,23,59,0,1,11,39,76,8,8,74,10,1,23,2,48,21,88,0,7,55,10,6,1,13,13,1,16,100,19,4,78,54,35,0,66,3,11,49,10,91,9,9,38,1,8,78,12,2,4,23,3,0,20,1,5,92,4,74,0,9,78,53,19,1,28,91,29,7,29,0,11,3,82,7,61,9,2,74,49,0,48,85,1,2,2,15,88,61,9
16,2,31,20,76,87,1,68,91,12,0,24,62,0,1,11,41,81,8,10,86,10,1,16,2,53,22,87,0,7,56,9,6,1,12,13,1,16,29,20,4,76,56,39,0,68,3,10,50,10,86,10,8,39,1,8,81,14,2,5,23,4,0,21,1,5,90,4,77,0,9,84,53,18,1,29,93,31,8,33,0,12,3,88,8,60,10,2,75,54,0,53,92,1,3,2,15,88,58,10
16,2,30,19,65,75,1,72,88,13,0,23,61,0,1,12,41,76,8,11,100,11,1,15,2,56,21,89,0,7,58,10,6,1,12,13,0,16,21,19,4,77,54,33,0,67,3,10,50,9,91,10,8,33,1,8,87,12,2,5,22,3,0,20,1,5,93,4,78,0,10,81,55,18,1,28,94,30,8,32,0,13,3,89,8,65,9,2,76,54,0,51,94,1,3,2,16,84,56,10
