country,hotness,gdp
United States,2665,16253972.2300000
United Kingdom,1130,2719158.34100579
Germany,532,3527143.18878516
France,461,2683671.71696719
India,364,1827637.8591357
China,532,8532229.98699365
Russia,294,2208295.77364315
Mexico,287,1201089.98701545
Canada,272,1828366.4815216
Italy,258,2086957.6568216
Japan,254,6272362.99610503
Australia,237,1546508.55846566
Norway,202,509506.317146541
Brazil,199,2465228.29389401
Egypt,197,279116.666666667
South Africa,179,434400.545085811
