country,hotness,gdp
United States,2708,16843190.9930000
United Kingdom,1089,2803291.40602993
France,465,2811876.90332903
India,440,1856722.12139453
Germany,439,3733804.64954903
Mexico,288,1274443.08471657
Japan,276,5212328.18116618
Italy,272,2141924.09429856
Australia,267,1576335.28265107
Russia,260,2292473.24662108
China,230,9570406.23565964
Canada,214,1846597.42183498
Norway,189,522761.531914894
Egypt,179,288434.108527132
South Africa,177,400886.013595573
Spain,155,1355142.58507765
