United States,United Kingdom,Europe,Earth,England,Brain,Africa,Animal,Theatre,Mammal,Human,World War II,Asteroid,North America,Pyramid,France,India,Germany,English language,Science,Plant,Telephone,Agriculture,Computer,Atlantic Ocean,Viking,Internet,Zebra,London,United Nations,Film,Computer science,Bird,Mexico,Japan,Italy,Australia,Asia,Television,Russia,Biology,California,Christianity,Music,Adolf Hitler,European Union,Sun,Technology,Water,Solar System,Periodic table,Culture,Bean,China,Communication,Pacific Ocean,Lion,20th century,British Empire,South America,Scotland,Canada,Fish,President of the United States,Mathematics,Seed,Great Britain,Life,Organism,Electronics,Latin,Roman Empire,Chemistry,Norway,Chemical element,Physics,New York City,Ancient Greece,Food,Egypt,Ancient Egypt,South Africa,Continent,Art,Religion,Soviet Union,World War I,Fruit,Country,Herbivore,Florida,Jesus,Ancient Rome,Spain,Soybean,19th century,Ocean,Vertebrate,Language,Information
18,3,35,67,44,27,53,78,41,1,83,1,4,7,11,60,88,9,1,22,30,32,5,100,1,5,97,4,76,1,74,1,8,28,12,21,91,26,13,11,5,37,1,96,1,1,64,20,78,2,8,26,46,82,20,1,100,3,1,8,13,92,45,0,2,8,1,98,1,8,82,5,66,34,1,9,6,1,93,10,1,23,2,92,11,1,0,30,89,0,87,36,1,16,0,2,71,0,81,96
19,3,35,62,51,25,58,78,39,1,87,1,2,6,11,85,85,9,2,23,33,32,6,98,1,5,98,4,85,1,77,1,8,29,13,19,92,28,14,10,4,35,1,91,1,1,67,21,81,2,9,26,45,88,20,1,93,3,1,8,16,89,44,0,3,8,1,96,1,7,84,5,71,32,1,8,6,1,96,10,1,23,2,96,13,1,0,31,86,0,89,35,1,16,0,2,68,0,77,99
19,3,36,63,48,24,58,78,39,1,81,1,2,6,11,78,83,9,1,22,33,29,6,96,1,4,95,4,77,1,76,1,8,28,13,19,100,25,14,11,4,33,1,93,1,1,62,21,76,2,9,25,43,84,21,1,87,3,1,8,15,87,43,0,3,8,1,98,1,7,89,4,66,34,1,9,6,1,91,11,1,23,2,86,12,1,0,29,87,0,83,35,0,16,0,2,62,0,83,92
19,3,35,61,40,28,57,78,39,1,86,1,2,6,11,59,78,9,2,23,33,30,6,97,1,4,98,4,77,1,75,1,8,30,13,20,85,24,14,11,4,34,1,98,1,1,60,20,80,2,9,26,44,84,21,1,93,3,1,8,15,93,43,0,3,8,1,93,1,7,86,5,69,34,1,9,6,1,93,12,1,23,2,95,13,1,0,31,88,0,84,35,0,16,0,2,85,0,83,100
18,3,34,64,46,28,59,82,40,1,90,1,7,6,12,66,78,10,2,22,37,31,6,95,1,4,97,4,77,1,72,1,8,29,13,21,82,25,14,11,4,35,1,100,1,1,63,21,77,2,10,27,42,86,22,1,92,3,1,8,15,93,45,0,3,8,1,95,1,7,86,5,68,30,1,9,7,1,95,11,1,23,2,92,13,1,1,30,88,0,84,35,1,16,0,3,69,0,83,96
19,3,34,75,35,26,59,81,40,1,88,1,66,6,11,60,77,9,1,21,34,31,6,95,1,4,92,4,72,1,74,1,9,28,12,20,81,24,13,66,4,34,1,94,1,1,63,20,83,2,9,27,42,80,20,1,91,3,1,7,14,86,47,0,3,8,1,92,1,7,92,5,64,30,1,8,6,1,96,10,1,25,2,92,13,1,1,31,88,0,87,36,1,16,0,3,98,0,81,95
20,3,33,68,35,26,57,79,38,1,85,1,13,6,12,61,86,9,1,22,36,30,7,95,1,4,94,4,72,1,75,1,8,30,12,20,94,26,14,31,4,34,1,98,1,1,63,21,83,2,8,27,44,89,21,1,89,3,1,7,13,93,47,0,3,9,1,100,1,7,84,5,64,28,1,8,6,1,94,10,1,25,2,94,13,1,1,30,95,0,87,38,1,15,0,2,71,0,79,90
19,3,34,63,32,27,55,78,38,1,91,1,3,6,12,59,86,10,1,22,36,31,8,96,1,4,100,4,69,1,71,1,8,30,13,22,91,24,13,13,4,33,1,94,1,1,63,21,83,2,9,27,40,86,22,1,89,3,1,8,14,94,46,0,3,8,1,99,1,7,84,5,66,29,2,9,6,1,94,11,1,24,2,97,13,1,1,30,88,0,92,37,1,16,0,2,68,0,85,96
19,3,34,60,34,29,56,77,36,1,87,1,4,7,12,61,86,10,1,23,38,31,6,97,1,5,97,4,74,1,70,1,8,31,14,21,90,25,14,12,4,35,1,93,1,1,65,21,83,2,8,30,43,88,21,1,95,3,1,8,14,92,46,0,3,9,1,98,1,7,87,5,69,28,1,9,6,1,96,11,1,24,2,96,13,1,1,30,90,0,94,38,1,16,0,2,73,0,88,98
18,3,35,62,40,26,56,76,34,1,86,1,3,6,11,78,96,9,2,21,39,31,6,89,1,5,93,4,76,1,68,1,8,30,13,24,94,25,14,11,4,35,1,90,1,1,61,21,79,2,7,27,40,89,21,1,86,3,1,8,14,91,45,0,3,9,1,98,1,7,97,4,64,28,1,8,6,1,92,10,1,25,2,93,14,1,1,29,86,0,85,41,1,16,0,2,65,0,83,97
18,3,35,70,41,26,58,78,36,1,88,1,4,6,11,62,88,10,2,23,39,32,7,88,1,5,97,4,73,1,68,1,8,31,14,25,99,26,14,13,4,35,1,99,1,1,61,21,83,2,7,27,40,87,22,1,91,3,1,8,16,93,44,0,3,10,1,94,1,7,88,5,64,29,1,8,6,1,96,10,1,25,2,93,13,1,1,30,91,0,93,43,1,17,0,2,68,0,81,94
